x,y,zipcode
1040696.26214,185580.221926,11436
1001912.872,183803.113154,11213
1008365.3751,180768.944869,11212
997023.192692,180870.353332,11225
990785.291121,173656.048391,11218
996162.675123,174807.99707,11226
985172.779325,169813.485311,11219
999084.395936,167909.6081,11210
993775.081486,165916.106508,11230
988452.398509,164795.033191,11204
1012562.06303,266583.143092,10471
1021738.76654,267602.314729,10470
1026647.11493,263909.289657,10466
1020059.1193,259287.51789,10467
1009774.88338,260570.873809,10463
1032143.56125,258004.621793,10475
1038331.045,257157.503102,10464
1026677.65383,255635.896419,10469
1012210.89277,256164.724949,10468
1008985.71553,258395.549886,10463
1015770.80694,253695.342678,10458
1005901.63905,255847.339405,10034
1001886.30087,249360.469197,10033
1022640.54457,246969.840196,10462
1003857.40634,251921.046756,10040
1008195.31058,249906.836124,10453
1033362.58238,240834.106842,10465
1047900.95983,250405.175449,10464
1043277.86857,247894.47347,10464
1028292.72438,247902.428291,10461
1012373.99669,247427.240715,10457
1017571.11317,246031.736249,10460
1000360.20816,244936.565919,10032
1005436.75029,244486.843693,10452
1009764.34353,241746.681503,10456
1020233.00787,241574.865713,10472
998074.70816,239817.592342,10031
1001498.82439,240459.882965,10039
1013818.32251,240108.060487,10459
1005358.96128,238316.067528,10451
1023402.90299,237333.062655,10473
1000085.77883,237446.121493,10030
997315.407455,234951.127367,10027
1016395.40634,234599.168485,10474
1009849.24497,236057.715828,10455
1001640.22599,235641.324603,10037
991332.797372,228079.311144,10024
1007428.6323,232878.528307,10454
997161.159308,231856.100117,10026
1001879.64706,231367.102092,10035
980794.930741,198557.893903,10048
993331.741088,230026.34686,10025
1036523.44139,225829.451029,11357
999715.03613,227671.199172,10029
993788.744524,224355.691907,00083
1028088.25183,225308.609301,11356
1046078.83271,227810.887462,11359
1044571.01504,223767.557082,11360
1009942.01048,223141.624633,11105
997930.964846,224095.39024,10128
988965.829595,222048.59237,10023
1054590.36015,220769.612271,11363
997277.989618,222194.876752,10028
1032147.68068,219353.804879,11354
1004612.51572,220393.720698,11102
1014430.92798,217548.805761,11370
995660.267186,219762.515904,10021
1040684.8938,216382.092354,11358
1057934.119,215939.056698,11362
998109.923497,216854.355334,10044
1019615.68073,217411.069592,11369
1008273.33773,217225.407791,11103
1003173.63851,216799.395073,11106
1024942.55216,212413.483615,11368
1010562.61539,210686.626997,11377
1033751.96321,213025.445436,11355
1001317.65764,211039.786677,11101
1051372.27663,211114.570553,11364
986238.44953,214432.791918,10018
989996.891975,215754.951396,10020
1063795.82858,214658.275394,11005
991682.997801,213389.203654,10017
985100.719055,212599.489078,10001
984147.87243,209373.941111,10011
990281.625404,210668.136368,10016
1006206.80734,210565.787862,11104
996108.139403,210723.164225,11109
988982.94106,208547.208657,10010
1032379.78859,205410.662429,11367
982424.135672,206640.063248,10014
987340.30634,205944.672355,10003
998755.506715,204643.993526,11222
988220.437683,200190.136399,10002
1009944.41646,202983.564718,11378
990027.376548,203972.827418,10009
984821.106449,203611.612363,10012
982881.74893,201679.460598,10013
982160.651275,199404.802236,10007
1006204.49069,195763.533954,11237
1016649.74549,194768.511784,11385
983411.236426,197832.676176,10038
