,RegionName,City,State,Metro,CountyName,SizeRank,_2016_01,_2016_02,_2016_03,_2016_04,_2016_05,_2016_06,_2016_07,_2016_08,_2016_09,_2016_10,_2016_11,_2016_12,_2017_01,kind
5,10038,New York,NY,New York,New York,538,4874.0,4795.0,4700.0,4790.0,4495.0,4685.0,4715.0,4612.5,4750.0,4395.0,4395.0,4447.5,4480.0,br2
8,10128,New York,NY,New York,New York,18,3272.5,3312.5,3500.0,3600.0,3295.0,3297.5,3395.0,3250.0,3612.5,3295.0,3200.0,3500.0,3200.0,br2
12,11104,New York,NY,New York,Queens,506,2400.0,2450.0,2400.0,2400.0,2500.0,2500.0,2400.0,2400.0,2500.0,2500.0,2350.0,2350.0,2300.0,br2
13,11201,New York,NY,New York,Kings,31,4300.0,4292.0,4350.0,4219.0,4190.5,4150.0,4050.0,4195.0,4500.0,4850.0,4500.0,4065.0,4075.5,br2
14,10009,New York,NY,New York,New York,16,3350.0,3390.0,3362.5,3472.5,3400.0,3422.5,3400.0,3495.0,3300.0,3400.0,3392.5,3295.0,3395.0,br2
19,10024,New York,NY,New York,New York,36,4500.0,4500.0,4425.0,4472.5,4495.0,4297.5,4195.0,4200.0,4250.0,4200.0,4200.0,4195.0,4295.0,br2
23,10027,New York,NY,New York,New York,104,2566.0,2550.0,2580.5,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2600.0,2600.0,2500.0,2611.0,br2
25,10012,New York,NY,New York,New York,451,4500.0,4495.0,4450.0,4250.0,4200.0,4000.0,3800.0,3750.0,3950.0,3950.0,4000.0,3972.5,3925.0,br2
30,11377,New York,NY,New York,Queens,51,2200.0,2150.0,2100.0,2150.0,2200.0,2200.0,2200.0,2200.0,2200.0,2195.0,2200.0,2100.0,2197.5,br2
32,11105,New York,NY,New York,Queens,479,2395.0,2300.0,2400.0,2400.0,2400.0,2337.5,2400.0,2400.0,2400.0,2300.0,2395.0,2300.0,2300.0,br2
33,10022,New York,NY,New York,New York,310,4612.5,4600.0,4350.0,4597.5,4450.0,4095.0,4000.0,4095.0,4297.5,4472.5,4450.0,4122.5,4308.0,br2
51,10003,New York,NY,New York,New York,19,3995.0,3975.0,3995.0,3995.0,3850.0,3850.0,3850.0,3800.0,3900.0,3800.0,3900.0,3895.0,3865.0,br2
54,10014,New York,NY,New York,New York,185,4195.0,4242.0,4200.0,4217.0,4112.5,4085.0,4000.0,4200.0,3995.0,4000.0,4100.0,3897.5,4000.0,br2
